Brand,ProductCategory,ProductSubCategory,BarCode,ProductCode,ProductName,ProductDescription,Tax,MRP,SalesPrice,Unit,HSNCode
MAHARAJA WHITE LINE,GOODS,,,1,JMG I HAPPINESS-(MARK1)-,,28,,1250,NOS,8509 40 10
VIDEOCON,GOODS,,,2,VIDEOCON REF VC-060PSH/61PSH,,28,,5078.13,PIECES,8418 10 10
SAMSUNG,GOODS,,,3,SAMSUNG M/W CE76JD-B/XTL,,28,,7637.5,PCS,8516 10 00
PHILIPS,GOODS,,,4,PHILIPS JUICE EXTRACTOR HL 1631/02-NEW,,28,,1446,PCS,8509 40 10
PHILIPS,GOODS,,,5,90134-PHILIPS HAIR DRYER HP8141,,28,,390.62,PCS,8516 10 00
HINDWARE,GOODS,,,6,HI95. HINDWARE CT MILANO GI 4B (90010760),,18,,4915.25,NOS,7321 11 10
HINDWARE,GOODS,,,7,HI93. HINDWARE CT MILANO GI 3B,,18,,4237.28,NOS,7321 11 10
HINDWARE,GOODS,,,8,hi54. HINDWARE DELFINA PLUS 60CM BK,,18,,7711.86,NOS,8414 51 10
PHILIPS,GOODS,,,9,PHILIPS VACCUM CLEANER FC8082/01-NEW,,28,,3984.38,PCS,8508 11 00
PHILIPS,GOODS,,,10,PHILIPS VACCUM CLEANER BAGLESS FC8085/01,,28,,4589.84,PCS,8508 11 00
PHILIPS,GOODS,,,11,PHILIPS AIRFRYER HD9216/81- NEW ,,28,,5468.75,PCS,8516 10 00
PHILIPS,GOODS,,,12,PHILIPS INDUCTION COOKTOP HD4920/00-NEW,,28,,1503.12,PCS,8516 10 00
PHILIPS,GOODS,,,13,PHILIPS DRY IRON HI113/28-NEW,,28,,564.84,PCS,8516 10 00
PHILIPS,GOODS,,,14,PHILIPS DRY IRON (GC181/80) -NEW,,28,,789,PCS,8516 10 00
PHILIPS,GOODS,,,15,PHILIPS STEAM IRON GC1905/21- NEW,,28,,965.62,PCS,8516 10 00
PHILIPS,GOODS,,,16,PHILIPS STEAM IRON 1440W (GC1920/28) -NEW,,28,,1067.19,PCS,8516 10 00
PHILIPS,GOODS,,,17,PHILIPS STEAM IRON 1000HV GC1010/01-NEW,,28,,707.03,PCS,8516 10 00
PHILIPS,GOODS,,,18,PHILIPS STEAM IRON GC2040/70- NEW,,28,,1628.13,PCS,8516 10 00
PHILIPS,GOODS,,,19,PHILIPS STEAM IRON GC2048/30- NEW,,28,,2035.16,PCS,8516 10 00
PHILIPS,GOODS,,,20,PHILIPS STRAIGHTENER BHS 384/00 NEW,,28,,1026.56,PCS,8516 10 00
PHILIPS,GOODS,,,21,PHILIPS STRAIGHTENER BHS386/00 DIYA 3 NEW,,28,,1410.16,PCS,8516 10 00
PHILIPS,GOODS,,,22,PHILIPS HAIR STRAIGHTENER-HP8302/06-NEW,,28,,767.19,PCS,8516 10 00
PHILIPS,GOODS,,,23,PHILIPS HAND MIXER HR1459/00-NEW,,28,,1328.91,PCS,8509 40 10
PHILIPS,GOODS,,,24,PHILIPS AIR PURIFIER AC1215/20-NEW,,18,,7146.63,PCS,8421 21 20
STEELWOOD,GOODS,,,25,STEELWOOD 3/BR 006A1,,18,,1772,PCS,7321 11 10
STEELWOOD,GOODS,,,26,STEELWOOD 006 (ALL) AUTO,,18,,2405,PCS,7321 11 10
STEELWOOD,GOODS,,,27,STEELWOOD 008 55,,18,,1990,PCS,7321 11 10
STEELWOOD,GOODS,,,28,STEELWOOD 2/BR 202 MAJESTIC,,18,,2060,PCS,7321 11 10
STEELWOOD,GOODS,,,29,STEELWOOD S/BR 101 TRENDY,,18,,1000,PCS,7321 11 10
UNBRANDED,GOODS,,,30,"EFCG 15""*1400RPM CG",,18,,2800,PCS,8414 51 10
MAHARAJA WHITE LINE,GOODS,,,31,ULTIMATE RED TREASURE- JMG,,28,,2015.62,PCS,8509 40 10
TEKAL,GOODS,,,32,INTENSE PURE AIR BASIC (NEW),,18,,7118.64,NOS,8421 21 20
TEKAL,GOODS,,,33,AN 25 LUX 2KW IV (3180396),,28,,5859.38,NOS,8516 10 00
WONDERCHEF,GOODS,,,34,WONDERCHEF EGG BOILER ,,28,,585.16,PCS,8509 40 10
WONDERCHEF,GOODS,,,35,WONDERCHEF SKT- PROFESSIONAL,,28,,2635.93,PCS,8516 10 00
WONDERCHEF,GOODS,,,36,WONDERCHEF ELECTRIC DOSA MAKER 30CM ,,28,,1053.9,PCS,8516 10 00
WONDERCHEF,GOODS,,,37,WONDERCHEF MAGIC ROTI MAKER,,28,,1874.21,PCS,8516 10 00
WONDERCHEF,GOODS,,,38,WONDERCHEF TURBO CHOPPER ,,18,,698.3,PCS,8210 00 00
WONDERCHEF,GOODS,,,39,WONDERCHEF DA VINCI SET - YELLOW,,12,,1539.29,PCS,7615 10 11
WONDERCHEF,GOODS,,,40,WONDERCHEF COLD PRESS SLOW JUICER - DIGITAL,,28,,7616.41,PCS,8509 40 10
WONDERCHEF,GOODS,,,41,WONDERCHEF PRATO ELECTRIC KETTLE 1.5L,,28,,1112.05,PCS,8516 10 00
SINGER,GOODS,,,42,SINGER COMPOSITE SEWING MACHINE ,,12,,2839.28,PCS,8452 10 11
SINGER,GOODS,,,43,SINGER START 1306 SEWING MACHINE,,12,,5625,PCS,8452 10 11
SINGER,GOODS,,,44,SINGER 8280 SEWING MACHINE,,12,,7946.42,PCS,8452 10 11
SINGER,GOODS,,,45,SINGER DUO POP-UP TOASTER,,28,,617.18,PCS,8516 10 00
SINGER,GOODS,,,46,SINGER QUADRAPOP,,28,,890,PCS,8516 10 00
BALTRA,GOODS,,,47,FARRATA FAN (EMINENT BF - 145)18 INCH,,18,,1926,PCS,8414 51 10
BALTRA,GOODS,,,48,TOOFAN FAN (BF) 143,,18,,1615,PCS,8414 51 10
BALTRA,GOODS,,,49,LEADER HAND BLADER(BHB -112),,28,,633,PCS,8509 40 10
BALTRA,GOODS,,,50,STROKE HEATER (BTH124),,28,,1066,PCS,8516 10 00
STAR RICE,GOODS,,,51,STAR RICE COOKER3.6LTR(BTS-1300),,28,,2208,SETS,8516 10 00
QUARTZ,GOODS,,,52,PRIDE QUARTZ HEATER (BTH-117),,28,,711,PCS,8516 10 00
AMAZE,GOODS,,,53,AMAZE COLDLESS KETTAL (BC-141),,28,,594,PCS,8516 10 00
TITAN,GOODS,,,54,TITAN FAN HEATER (BTH-126),,28,,797,PCS,8516 10 00
MEDIA,GOODS,,,55,MWPRU AL7 - PLASTIC TANK WITH 7 STAGE RO/UV,,18,,11864.41,NOS,8421 21 20
MEDIA,GOODS,,,56,MWPRU SL7 - STS  TANK WITH 7 STAGE RO/UV,,18,,13559.32,NOS,8421 21 20
MEDIA,GOODS,,,57,MWPRU CL-7 - COPPER  TANK WITH 7 STAGE RO/UV,,18,,15254.24,NOS,8421 21 20
MEDIA,GOODS,,,58,PRE FILTER ASSEMBLY (WP),,18,,0.01,NOS,8421 21 20
MEDIA,GOODS,,,59,DUMMY ASSY (RO+UV+ WP AL7) WATER PURIFIER,,18,,0.01,NOS,8415 10 90
OVASTAR,GOODS,,,60,OVASTAR 2418 TANDOOR TIMMER,,28,,1250,PCS,8516 10 00
PHILIPS,GOODS,,,61,PHILIPS MULTI STYLER BHH 811,,28,,3050,PCS,8516 10 00
PHILIPS,GOODS,,,62,PHILIPS HAIR STRAIGHTNER 8316,,28,,2070,PCS,8516 10 00
USHA,GOODS,,,63,USHA JMG 3345,,28,,2150,PCS,8509 40 10
