brand,topupdate,activationdate,iccidPREFIX,iccid,resellerid,offmgrid,bundlecode,TopupSeq, Spiff 
LMPLUS,2016-02-25,2016-02-25,8919601,000144717622,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal, $15.00 
LMPLUS,2016-02-19,2016-02-19,8919601,000140842028,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,3rd_renewal, $15.00 
LM,2016-02-17,2016-02-17,8919601,000031038611,LMUS-SIM-WS-P-CA-AHPREPAI,AHPREPAIDSOLUTIONS,2019,1st_activation,
LMPLUS,2016-02-23,2016-02-23,8919601,000139674853,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2039,3rd_renewal, $25.00 
LMPLUS,2016-01-26,2016-01-26,8919601,000139033027,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal, $15.00 
LMPLUS,2016-01-28,2016-01-28,8919601,000138206327,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal, $15.00 
LMPLUS,2016-02-20,2016-02-20,8919601,000138023789,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal, $15.00 
LMPLUS,2016-02-04,2016-02-04,8919601,000138023375,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal, $15.00 
LMPLUS,2016-02-20,2016-02-20,8919601,000137794794,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal, $15.00 
LMPLUS,2016-02-24,2016-02-24,8919601,000131697027,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal, $15.00 
LMPLUS,2016-02-22,2016-02-22,8919601,000131697001,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal, $15.00 
LMPLUS,2016-02-24,2016-02-24,8919601,000122340868,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal, $15.00 
LMPLUS,2016-02-10,2016-02-10,8919601,000121729848,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal, $15.00 
LMPLUS,2016-02-04,2016-02-04,8919601,000121107185,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,3rd_renewal, $3.00 
LMPLUS,2016-02-23,2016-02-23,8919601,000121103549,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal, $15.00 
LMPLUS,2016-01-28,2016-01-28,8919601,000114432848,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2045,3rd_renewal, $20.00 
LMPLUS,2016-02-09,2016-02-09,8919601,000105196253,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,1st_activation, $7.00 
LMPLUS,2016-02-12,2016-02-12,8919601,000105196311,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,1st_activation, $7.00 
LMPLUS,2016-01-29,2016-01-29,8919601,000114432293,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal, $15.00 
LMPLUS,2016-02-14,2016-02-14,8919601,000105197236,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,3rd_renewal, $3.00 
LMPLUS,2016-02-24,2016-02-24,8919601,000142085915,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,2035,3rd_renewal, $20.00 
LMPLUS,2016-01-31,2016-01-31,8919601,000142689609,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,3rd_renewal, $3.00 
LMPLUS,2016-02-19,2016-02-19,8919601,000140842101,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,3rd_renewal, $15.00 
LMPLUS,2016-02-04,2016-02-04,8919601,000140842044,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,3rd_renewal, $15.00 
LMPLUS,2016-02-22,2016-02-22,8919601,000139657353,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal, $15.00 
LMPLUS,2016-02-02,2016-02-02,8919601,000139655076,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2039,3rd_renewal, $25.00 
LMPLUS,2016-02-03,2016-02-03,8919601,000131697217,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,3rd_renewal, $3.00 
LMPLUS,2016-02-11,2016-02-11,8919601,000131501526,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,3rd_renewal, $3.00 
LMPLUS,2016-02-20,2016-02-20,8919601,000122356997,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal, $15.00 
LMPLUS,2016-02-04,2016-02-04,8919601,000122330901,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal, $15.00 
