brand,topupdate,activationdate,Full ICCID,offmgrid,bundlecode,TopupSeq, Spiff 
LMPLUS,2015-02-06,2015-02-06,8919601000105196212,AHPREPAIDSOLUTIONS,2023,1st_activation, $7.00 
LMPLUS,2015-02-15,2015-02-15,8919601000105197301,AHPREPAIDSOLUTIONS,2023,1st_activation, $7.00 
LMPLUS,2015-02-19,2015-02-19,8919601000105197434,AHPREPAIDSOLUTIONS,2023,1st_activation, $7.00 
LMPLUS,2015-01-31,2015-01-31,8919601000106376052,AHPREPAIDSOLUTIONS,2023,1st_activation, $7.00 
LMPLUS,2015-02-21,2015-02-21,8919601000106374248,AHPREPAIDSOLUTIONS,2023,1st_activation, $7.00 
LMPLUS,2015-02-15,2015-02-15,8919601000114721042,AHPREPAIDSOLUTIONS,2023,1st_activation, $7.00 
LMPLUS,2015-02-18,2015-02-18,8919601000115296978,AHPREPAIDSOLUTIONS,2023,1st_activation, $7.00 
LMPLUS,2015-02-14,2015-02-14,8919601000114719921,AHPREPAIDSOLUTIONS,2023,1st_activation, $7.00 
LMPLUS,2015-02-10,2015-02-10,8919601000106376243,AHPREPAIDSOLUTIONS,2023,1st_activation, $7.00 
LMPLUS,2015-02-12,2015-02-12,8919601000105197178,AHPREPAIDSOLUTIONS,2023,1st_activation, $7.00 
LMPLUS,2015-02-06,2015-02-08,8919601000105142554,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-01-27,2015-01-28,8919601000105142869,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-02-10,2015-02-10,8919601000105143362,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-02-03,2015-02-03,8919601000105144089,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-02-01,2015-02-01,8919601000105146159,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-02-06,2015-02-07,8919601000105147538,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-02-13,2015-02-15,8919601000105147561,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-01-27,2015-01-27,8919601000105148429,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-02-13,2015-02-13,8919601000105196949,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-02-17,2015-02-17,8919601000105197319,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-02-03,2015-02-04,8919601000105215129,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-02-03,2015-02-03,8919601000105215178,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-02-17,2015-02-17,8919601000105215822,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-02-05,2015-02-05,8919601000105216127,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-02-05,2015-02-05,8919601000105216135,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-02-07,2015-02-08,8919601000105216226,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-02-24,NULL,8919601000105216747,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-02-06,2015-02-10,8919601000105143826,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-01-27,2015-01-27,8919601000105144105,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-01-29,2015-01-29,8919601000105144279,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-02-02,2015-02-03,8919601000105144691,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-01-28,2015-01-28,8919601000105145243,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-02-06,2015-02-06,8919601000105145631,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-01-27,2015-01-27,8919601000105145763,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-02-01,2015-02-01,8919601000105145789,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-01-31,2015-01-31,8919601000105147223,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-01-27,2015-01-28,8919601000105147348,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
LMPLUS,2015-02-02,2015-02-02,8919601000105148627,AHPREPAIDSOLUTIONS,2029,1st_activation, $20.00 
