brand,topupdate,activationdate,iccidPREFIX,iccid,resellerid,offmgrid,bundlecode,TopupSeq, Spiff 
LMPLUS,02/25/2016,02/25/2016,8919601,144717622,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/19/2016,02/19/2016,8919601,140842028,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,3rd_renewal,$15.00 
LM,02/17/2016,02/17/2016,8919601,31038611,LMUS-SIM-WS-P-CA-AHPREPAI,AHPREPAIDSOLUTIONS,2019,1st_activation,
LMPLUS,02/23/2016,02/23/2016,8919601,139674853,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2039,3rd_renewal,$25.00 
LMPLUS,01/26/2016,01/26/2016,8919601,139033027,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,01/28/2016,01/28/2016,8919601,138206327,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/20/2016,02/20/2016,8919601,138023789,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/04/2016,02/04/2016,8919601,138023375,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/20/2016,02/20/2016,8919601,137794794,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/24/2016,02/24/2016,8919601,131697027,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/22/2016,02/22/2016,8919601,131697001,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/24/2016,02/24/2016,8919601,122340868,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/10/2016,02/10/2016,8919601,121729848,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/04/2016,02/04/2016,8919601,121107185,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,3rd_renewal,$3.00 
LMPLUS,02/23/2016,02/23/2016,8919601,121103549,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,01/28/2016,01/28/2016,8919601,114432848,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2045,3rd_renewal,$20.00 
LMPLUS,02/09/2016,02/09/2016,8919601,105196253,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,1st_activation,$7.00 
LMPLUS,02/12/2016,02/12/2016,8919601,105196311,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,1st_activation,$7.00 
LMPLUS,01/29/2016,01/29/2016,8919601,114432293,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/14/2016,02/14/2016,8919601,105197236,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,3rd_renewal,$3.00 
LMPLUS,02/24/2016,02/24/2016,8919601,142085915,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,2035,3rd_renewal,$20.00 
LMPLUS,01/31/2016,01/31/2016,8919601,142689609,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,3rd_renewal,$3.00 
