brand,iccidPREFIX,iccid,firstbundle,topupdate,resellerid,offmgrid,autorenewal_status,amt, Residual 
LMPLUS,NULL,000122357722,2015-12-21,2016-02-25,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000114242270,2016-01-03,2016-02-25,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000122340926,2015-12-01,2016-01-28,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000122340868,2015-12-21,2016-02-24,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000122341957,2015-12-02,2016-01-31,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000142085915,2016-01-25,2016-02-24,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,35, $1.40 
LMPLUS,NULL,000122341148,2015-12-26,2016-02-24,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000122342336,2016-01-22,2016-02-24,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000122341346,2015-12-20,2016-02-18,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000114242411,2015-12-21,2016-02-21,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,35, $1.40 
LMPLUS,NULL,000140842374,2016-02-18,2016-02-22,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000114243542,2015-12-17,2016-02-23,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,19, $0.76 
LMPLUS,NULL,000140842044,2016-01-28,2016-02-04,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000140902087,2016-01-05,2016-02-04,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000122357771,2015-12-21,2016-02-21,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000140845880,2016-02-13,2016-02-15,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000140843380,2016-02-13,2016-02-15,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000122340660,2015-12-21,2016-02-20,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000122340975,2015-12-07,2016-02-05,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000122355742,2015-12-21,2016-02-20,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000122356997,2015-12-21,2016-02-20,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000140842093,2016-01-30,2016-02-19,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000140842929,2016-01-30,2016-02-19,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000140842036,2016-01-27,2016-02-19,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000140842127,2016-01-30,2016-02-19,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000140842077,2016-01-28,2016-02-19,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000140842010,2016-01-27,2016-02-19,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000140842028,2016-01-27,2016-02-19,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000140842101,2016-01-30,2016-02-19,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000140845757,2016-02-13,2016-02-19,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000140882388,2016-02-15,2016-02-19,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,35, $1.40 
LMPLUS,NULL,000122358134,2015-11-28,2016-01-27,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000122341395,2015-12-16,2016-02-14,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000114243427,2015-12-15,2016-02-14,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000140843380,2016-02-13,2016-02-24,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000114242411,2015-12-21,2016-02-24,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000122357144,2015-11-07,2016-02-04,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000122340835,2015-12-09,2016-02-20,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000122357672,2015-10-20,2016-02-17,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000122357680,2015-10-20,2016-02-17,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000114440486,2015-12-10,2016-02-02,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000114320894,2015-11-06,2016-02-14,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,19, $0.76 
LMPLUS,NULL,000121864843,2016-01-27,2016-02-06,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000114431766,2015-11-17,2016-02-16,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,19, $0.76 
LMPLUS,NULL,000121564047,2016-01-18,2016-02-16,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,19, $0.76 
LMPLUS,NULL,000121864124,2016-01-18,2016-02-16,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000114316272,2015-11-22,2016-02-25,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,59, $2.36 
LMPLUS,NULL,000121864306,2016-01-17,2016-02-16,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
LMPLUS,NULL,000121864363,2015-12-29,2016-01-28,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,Normal_renewal,29, $1.16 
